date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:23:29	96708/96708	---M-Z	200	added ('OK')	text/html	etag:%22446c-6134f2398863d%22	https://freshmart-plc.co.uk/	C:/My%20Web%20Sites/https___freshmart-plc.co.uk_/freshmart-plc.co.uk/index.html	(from )
15:23:29	171/171	---MC-	200	added ('OK')	text/plain	date:Sun,%2010%20Mar%202024%2020:23:21%20GMT	https://freshmart-plc.co.uk/robots.txt		(from )
15:23:29	16534/16534	---M-Z	200	added ('OK')	text/css	etag:%224096-60647d7216a80-gzip%22	https://freshmart-plc.co.uk/wp-includes/blocks/navigation/style.min.css?ver=6.4.3	C:/My%20Web%20Sites/https___freshmart-plc.co.uk_/freshmart-plc.co.uk/wp-includes/blocks/navigation/style.min84fc.css	(from https://freshmart-plc.co.uk/)
15:23:29	6979/6979	---M-Z	200	added ('OK')	text/css	etag:%221b43-6096ce9174c00-gzip%22	https://freshmart-plc.co.uk/wp-includes/blocks/image/style.min.css?ver=6.4.3	C:/My%20Web%20Sites/https___freshmart-plc.co.uk_/freshmart-plc.co.uk/wp-includes/blocks/image/style.min84fc.css	(from https://freshmart-plc.co.uk/)
15:23:30	2319/2319	---MC-	200	added ('OK')	application/rss+xml	etag:%2265351d6bfcefed776e24c8fd53e8e110%22	https://freshmart-plc.co.uk/feed/	C:/My%20Web%20Sites/https___freshmart-plc.co.uk_/freshmart-plc.co.uk/feed/index.html	(from https://freshmart-plc.co.uk/)
15:23:30	32378/32378	---M-Z	200	added ('OK')	text/javascript	etag:%227e7a-60fb5b4423900-gzip%22	https://freshmart-plc.co.uk/wp-includes/js/dist/interactivity.min.js?ver=6.4.3	C:/My%20Web%20Sites/https___freshmart-plc.co.uk_/freshmart-plc.co.uk/wp-includes/js/dist/interactivity.min84fc.js	(from https://freshmart-plc.co.uk/)
15:23:30	3586/3586	---M-Z	200	added ('OK')	text/javascript	etag:%22e02-60866a4183440-gzip%22	https://freshmart-plc.co.uk/wp-includes/blocks/navigation/view.min.js?ver=e3d6f3216904b5b42831	C:/My%20Web%20Sites/https___freshmart-plc.co.uk_/freshmart-plc.co.uk/wp-includes/blocks/navigation/view.minff1e.js	(from https://freshmart-plc.co.uk/)
15:23:30	1673/1673	---MC-	200	added ('OK')	application/rss+xml	etag:%2265351d6bfcefed776e24c8fd53e8e110%22	https://freshmart-plc.co.uk/comments/feed/	C:/My%20Web%20Sites/https___freshmart-plc.co.uk_/freshmart-plc.co.uk/comments/feed/index.html	(from https://freshmart-plc.co.uk/)
15:23:30	11689/11689	---M-Z	200	added ('OK')	text/javascript	etag:%222da9-612f387766ed0-gzip%22	https://freshmart-plc.co.uk/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend-gtag.min.js?ver=8.25.0	C:/My%20Web%20Sites/https___freshmart-plc.co.uk_/freshmart-plc.co.uk/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend-gtag.minf809.js	(from https://freshmart-plc.co.uk/)
15:23:30	828/828	---MC-	200	added ('OK')	text/xml	date:Sun,%2010%20Mar%202024%2020:23:23%20GMT	https://freshmart-plc.co.uk/xmlrpc.php?rsd	C:/My%20Web%20Sites/https___freshmart-plc.co.uk_/freshmart-plc.co.uk/xmlrpc0db0.php	(from https://freshmart-plc.co.uk/)
